iter	Logloss
0	0.6736814802
1	0.6547269385
2	0.6353963409
3	0.6205778284
4	0.6017976273
5	0.5852948877
6	0.5705797778
7	0.5569413901
8	0.5434125196
9	0.5305609894
10	0.5190627155
11	0.5072147355
12	0.4930244186
13	0.4820045188
14	0.4724332998
15	0.4633921027
16	0.454051908
17	0.4449493312
18	0.4352763867
19	0.4262263313
20	0.4170301684
21	0.4093108344
22	0.4018705815
23	0.394874644
24	0.3873641258
25	0.3810091608
26	0.3741914948
27	0.3686272902
28	0.3610838699
29	0.3553764673
30	0.3494880008
31	0.343060772
32	0.3376037328
33	0.331434668
34	0.3256443168
35	0.3216695504
36	0.3162044772
37	0.3121515347
38	0.3080171574
39	0.3027787958
40	0.2983675538
41	0.2950226262
42	0.2922906849
43	0.288748742
44	0.2856139612
45	0.2820743076
46	0.2789989513
47	0.2757272575
48	0.2725493928
49	0.2694247198
50	0.2665672043
51	0.2640130521
52	0.2611686421
53	0.2581504929
54	0.2556769194
55	0.2533955306
56	0.2508895303
57	0.2485562575
58	0.245908297
59	0.2440767795
60	0.2420365459
61	0.2399843238
62	0.2375066908
63	0.2355021013
64	0.2334561934
65	0.2311614241
66	0.2295826632
67	0.2276823771
68	0.2257145322
69	0.2239739909
70	0.2221807436
71	0.2201750552
72	0.2185638928
73	0.2169011989
74	0.2153581769
75	0.2138544105
76	0.2121430789
77	0.2105751871
78	0.2088692663
79	0.207635252
80	0.2062574215
81	0.2046659417
82	0.2031735945
83	0.2017136597
84	0.2005851456
85	0.1994519807
86	0.1981259011
87	0.1970329915
88	0.1958462249
89	0.1946323554
90	0.193602348
91	0.1924292701
92	0.191374842
93	0.1901126652
94	0.1889298474
95	0.1878796609
96	0.186636963
97	0.1858247707
98	0.1847161185
99	0.183828737
100	0.1828725907
101	0.181846507
102	0.1809361199
103	0.1801013098
104	0.1791762161
105	0.178125598
106	0.1773003088
107	0.1766733708
108	0.1756356161
109	0.1748173172
110	0.1739066715
111	0.1730923075
112	0.1722479119
113	0.1712742663
114	0.1701985026
115	0.1694655097
116	0.1688799695
117	0.1681085272
118	0.1673879625
119	0.1668016984
120	0.1660026921
121	0.1653540515
122	0.1646703533
123	0.1640599167
124	0.1633734856
125	0.1627778409
126	0.1620818009
127	0.1615302491
128	0.1607720885
129	0.1600848558
130	0.1593915462
131	0.1587657201
132	0.1581532186
133	0.1572564165
134	0.1567375457
135	0.1562096485
136	0.155784654
137	0.1551528902
138	0.1546805101
139	0.1542917941
140	0.1537163583
141	0.1531617386
142	0.1526848895
143	0.152114511
144	0.1515891181
145	0.1510602674
146	0.1505837063
147	0.1499564147
148	0.1495808828
149	0.1489980925
150	0.1485174945
151	0.1479981557
152	0.1474925566
153	0.146926686
154	0.1464032608
155	0.1459658708
156	0.1455390214
157	0.1451132322
158	0.1446964904
159	0.1442851123
160	0.1439332103
161	0.1435784767
162	0.1430847753
163	0.1426840734
164	0.1422145465
165	0.1417063057
166	0.1411916008
167	0.1407048967
168	0.1403151254
169	0.1399326873
170	0.1395270773
171	0.1390844832
172	0.1386486952
173	0.1382565436
174	0.1379677546
175	0.1376386062
176	0.1372941802
177	0.1368928253
178	0.1365011227
179	0.1362125615
180	0.1358859659
181	0.1354844803
182	0.1351571789
183	0.1348086216
184	0.1345484069
185	0.1341586334
186	0.1338651775
