iter	Passed	Remaining
0	32	31976
1	60	30236
2	90	30045
3	119	29688
4	150	30018
5	180	29922
6	210	29828
7	246	30612
8	276	30446
9	304	30143
10	338	30466
11	370	30516
12	399	30335
13	431	30418
14	466	30651
15	495	30500
16	524	30356
17	552	30155
18	582	30068
19	611	29954
20	638	29759
21	683	30381
22	715	30407
23	747	30384
24	777	30306
25	805	30166
26	833	30035
27	866	30087
28	912	30554
29	955	30885
30	993	31049
31	1025	31011
32	1052	30854
33	1083	30793
34	1116	30796
35	1147	30719
36	1178	30660
37	1207	30568
38	1233	30404
39	1260	30249
40	1288	30144
41	1318	30073
42	1360	30280
43	1397	30360
44	1429	30347
45	1461	30302
46	1497	30364
47	1532	30394
48	1578	30626
49	1616	30718
50	1649	30685
51	1682	30664
52	1716	30669
53	1750	30672
54	1788	30725
55	1823	30744
56	1858	30745
57	1894	30770
58	1930	30790
59	1969	30856
60	2002	30828
61	2033	30760
62	2061	30665
63	2091	30582
64	2120	30499
65	2151	30449
66	2184	30422
67	2218	30405
68	2250	30358
69	2279	30282
70	2308	30208
71	2337	30123
72	2373	30143
73	2408	30134
74	2439	30085
75	2468	30016
76	2500	29972
77	2534	29953
78	2564	29892
79	2595	29843
80	2639	29951
81	2668	29871
82	2699	29822
83	2726	29734
84	2756	29678
85	2786	29617
86	2814	29537
87	2842	29454
88	2875	29428
89	2905	29379
90	2936	29329
91	2968	29293
92	2997	29231
93	3025	29158
94	3057	29123
95	3088	29080
96	3118	29034
97	3149	28987
98	3178	28923
99	3206	28862
100	3236	28803
101	3265	28745
102	3294	28691
103	3327	28669
104	3356	28610
105	3383	28536
106	3413	28486
107	3444	28450
108	3470	28370
109	3501	28330
110	3534	28308
111	3567	28281
112	3595	28226
113	3625	28176
114	3654	28127
115	3682	28064
116	3723	28104
117	3756	28076
118	3783	28013
119	3813	27965
120	3841	27906
121	3870	27855
122	3898	27795
123	3932	27780
124	3980	27860
125	4009	27810
126	4038	27758
127	4066	27701
128	4094	27643
129	4125	27606
130	4154	27559
131	4183	27508
132	4210	27446
133	4240	27403
134	4270	27360
135	4298	27305
136	4325	27248
